threshold,cost_won,recall,precision,f1
0.23500000000000001,116800000,0.8352941176470589,0.8160919540229885,0.8255813953488372
0.24000000000000002,116200000,0.8352941176470589,0.8352941176470589,0.8352941176470589
0.24500000000000002,116200000,0.8352941176470589,0.8352941176470589,0.8352941176470589
0.25,116200000,0.8352941176470589,0.8352941176470589,0.8352941176470589
0.255,116200000,0.8352941176470589,0.8352941176470589,0.8352941176470589
0.26,115900000,0.8352941176470589,0.8452380952380952,0.8402366863905325
0.265,115900000,0.8352941176470589,0.8452380952380952,0.8402366863905325
0.27,115900000,0.8352941176470589,0.8452380952380952,0.8402366863905325
0.275,115300000,0.8352941176470589,0.8658536585365854,0.8502994011976048
0.28,115300000,0.8352941176470589,0.8658536585365854,0.8502994011976048
0.28500000000000003,115000000,0.8352941176470589,0.8765432098765432,0.8554216867469879
0.29000000000000004,115000000,0.8352941176470589,0.8765432098765432,0.8554216867469879
0.29500000000000004,115000000,0.8352941176470589,0.8765432098765432,0.8554216867469879
0.3,114700000,0.8352941176470589,0.8875,0.8606060606060606
0.305,114700000,0.8352941176470589,0.8875,0.8606060606060606
0.31,114700000,0.8352941176470589,0.8875,0.8606060606060606
0.315,114100000,0.8352941176470589,0.9102564102564102,0.8711656441717791
0.32,114100000,0.8352941176470589,0.9102564102564102,0.8711656441717791
0.325,114100000,0.8352941176470589,0.9102564102564102,0.8711656441717791
0.33,114100000,0.8352941176470589,0.9102564102564102,0.8711656441717791
0.335,113800000,0.8352941176470589,0.922077922077922,0.8765432098765432
0.34,113500000,0.8352941176470589,0.9342105263157895,0.8819875776397516
0.34500000000000003,113500000,0.8352941176470589,0.9342105263157895,0.8819875776397516
0.35000000000000003,113500000,0.8352941176470589,0.9342105263157895,0.8819875776397516
0.35500000000000004,113500000,0.8352941176470589,0.9342105263157895,0.8819875776397516
0.36000000000000004,113500000,0.8352941176470589,0.9342105263157895,0.8819875776397516
0.365,113500000,0.8352941176470589,0.9342105263157895,0.8819875776397516
0.37,121500000,0.8235294117647058,0.9333333333333333,0.875
0.375,121500000,0.8235294117647058,0.9333333333333333,0.875
0.38,121500000,0.8235294117647058,0.9333333333333333,0.875
0.385,121500000,0.8235294117647058,0.9333333333333333,0.875
0.39,121200000,0.8235294117647058,0.9459459459459459,0.8805031446540881
0.395,121200000,0.8235294117647058,0.9459459459459459,0.8805031446540881
0.4,121200000,0.8235294117647058,0.9459459459459459,0.8805031446540881
0.405,121200000,0.8235294117647058,0.9459459459459459,0.8805031446540881
0.41000000000000003,121200000,0.8235294117647058,0.9459459459459459,0.8805031446540881
0.41500000000000004,121200000,0.8235294117647058,0.9459459459459459,0.8805031446540881
0.42000000000000004,121200000,0.8235294117647058,0.9459459459459459,0.8805031446540881
0.42500000000000004,121200000,0.8235294117647058,0.9459459459459459,0.8805031446540881
0.43,121200000,0.8235294117647058,0.9459459459459459,0.8805031446540881
0.435,120900000,0.8235294117647058,0.958904109589041,0.8860759493670886
0.44,120900000,0.8235294117647058,0.958904109589041,0.8860759493670886
0.445,120900000,0.8235294117647058,0.958904109589041,0.8860759493670886
0.45,120900000,0.8235294117647058,0.958904109589041,0.8860759493670886
0.455,120900000,0.8235294117647058,0.958904109589041,0.8860759493670886
0.46,120900000,0.8235294117647058,0.958904109589041,0.8860759493670886
0.465,120900000,0.8235294117647058,0.958904109589041,0.8860759493670886
0.47000000000000003,120900000,0.8235294117647058,0.958904109589041,0.8860759493670886
0.47500000000000003,120900000,0.8235294117647058,0.958904109589041,0.8860759493670886
0.48000000000000004,120900000,0.8235294117647058,0.958904109589041,0.8860759493670886
0.48500000000000004,120900000,0.8235294117647058,0.958904109589041,0.8860759493670886
0.49,120900000,0.8235294117647058,0.958904109589041,0.8860759493670886
0.495,120900000,0.8235294117647058,0.958904109589041,0.8860759493670886
0.5,120900000,0.8235294117647058,0.958904109589041,0.8860759493670886
0.505,120900000,0.8235294117647058,0.958904109589041,0.8860759493670886
0.51,120900000,0.8235294117647058,0.958904109589041,0.8860759493670886
0.515,120900000,0.8235294117647058,0.958904109589041,0.8860759493670886
0.52,120900000,0.8235294117647058,0.958904109589041,0.8860759493670886
0.525,120900000,0.8235294117647058,0.958904109589041,0.8860759493670886
0.53,120900000,0.8235294117647058,0.958904109589041,0.8860759493670886
0.535,120900000,0.8235294117647058,0.958904109589041,0.8860759493670886
0.54,120900000,0.8235294117647058,0.958904109589041,0.8860759493670886
0.545,120900000,0.8235294117647058,0.958904109589041,0.8860759493670886
0.55,120900000,0.8235294117647058,0.958904109589041,0.8860759493670886
0.555,128900000,0.8117647058823529,0.9583333333333334,0.8789808917197452
0.56,128900000,0.8117647058823529,0.9583333333333334,0.8789808917197452
0.5650000000000001,128900000,0.8117647058823529,0.9583333333333334,0.8789808917197452
0.5700000000000001,128900000,0.8117647058823529,0.9583333333333334,0.8789808917197452
0.5750000000000001,128900000,0.8117647058823529,0.9583333333333334,0.8789808917197452
0.5800000000000001,128900000,0.8117647058823529,0.9583333333333334,0.8789808917197452
0.5850000000000001,128900000,0.8117647058823529,0.9583333333333334,0.8789808917197452
0.59,128900000,0.8117647058823529,0.9583333333333334,0.8789808917197452
0.595,128600000,0.8117647058823529,0.971830985915493,0.8846153846153846
0.6,136600000,0.8,0.9714285714285714,0.8774193548387097
0.605,144600000,0.788235294117647,0.9710144927536232,0.8701298701298701
0.61,152600000,0.7764705882352941,0.9705882352941176,0.8627450980392157
0.615,152600000,0.7764705882352941,0.9705882352941176,0.8627450980392157
0.62,152600000,0.7764705882352941,0.9705882352941176,0.8627450980392157
0.625,168600000,0.7529411764705882,0.9696969696969697,0.847682119205298
0.63,168600000,0.7529411764705882,0.9696969696969697,0.847682119205298
0.635,168600000,0.7529411764705882,0.9696969696969697,0.847682119205298
0.64,168600000,0.7529411764705882,0.9696969696969697,0.847682119205298
0.645,176600000,0.7411764705882353,0.9692307692307692,0.84
0.65,176600000,0.7411764705882353,0.9692307692307692,0.84
0.655,176600000,0.7411764705882353,0.9692307692307692,0.84
0.66,176600000,0.7411764705882353,0.9692307692307692,0.84
0.665,184600000,0.7294117647058823,0.96875,0.8322147651006712
0.67,184600000,0.7294117647058823,0.96875,0.8322147651006712
0.675,184600000,0.7294117647058823,0.96875,0.8322147651006712
0.68,184600000,0.7294117647058823,0.96875,0.8322147651006712
0.685,184600000,0.7294117647058823,0.96875,0.8322147651006712
0.6900000000000001,184600000,0.7294117647058823,0.96875,0.8322147651006712
0.6950000000000001,184600000,0.7294117647058823,0.96875,0.8322147651006712
0.7000000000000001,184600000,0.7294117647058823,0.96875,0.8322147651006712
0.7050000000000001,184600000,0.7294117647058823,0.96875,0.8322147651006712
0.7100000000000001,184600000,0.7294117647058823,0.96875,0.8322147651006712
0.715,192600000,0.7176470588235294,0.9682539682539683,0.8243243243243243
0.72,192600000,0.7176470588235294,0.9682539682539683,0.8243243243243243
0.725,200600000,0.7058823529411765,0.967741935483871,0.8163265306122449
0.73,200600000,0.7058823529411765,0.967741935483871,0.8163265306122449
0.735,200600000,0.7058823529411765,0.967741935483871,0.8163265306122449
0.74,208300000,0.6941176470588235,0.9833333333333333,0.8137931034482758
0.745,216300000,0.6823529411764706,0.9830508474576272,0.8055555555555556
0.75,216300000,0.6823529411764706,0.9830508474576272,0.8055555555555556
0.755,216300000,0.6823529411764706,0.9830508474576272,0.8055555555555556
0.76,216300000,0.6823529411764706,0.9830508474576272,0.8055555555555556
0.765,224300000,0.6705882352941176,0.9827586206896551,0.7972027972027972
0.77,224300000,0.6705882352941176,0.9827586206896551,0.7972027972027972
0.775,224300000,0.6705882352941176,0.9827586206896551,0.7972027972027972
0.78,224300000,0.6705882352941176,0.9827586206896551,0.7972027972027972
0.785,232300000,0.6588235294117647,0.9824561403508771,0.7887323943661971
0.79,232300000,0.6588235294117647,0.9824561403508771,0.7887323943661971
0.795,232000000,0.6588235294117647,1.0,0.7943262411347518
0.8,232000000,0.6588235294117647,1.0,0.7943262411347518
0.805,248000000,0.6352941176470588,1.0,0.7769784172661871
0.81,256000000,0.6235294117647059,1.0,0.7681159420289855
0.8150000000000001,264000000,0.611764705882353,1.0,0.7591240875912408
0.8200000000000001,272000000,0.6,1.0,0.75
0.8250000000000001,272000000,0.6,1.0,0.75
0.8300000000000001,272000000,0.6,1.0,0.75
0.8350000000000001,272000000,0.6,1.0,0.75
0.8400000000000001,272000000,0.6,1.0,0.75
0.845,272000000,0.6,1.0,0.75
0.85,272000000,0.6,1.0,0.75
0.855,272000000,0.6,1.0,0.75
0.86,272000000,0.6,1.0,0.75
0.865,288000000,0.5764705882352941,1.0,0.7313432835820896
0.87,288000000,0.5764705882352941,1.0,0.7313432835820896
0.875,288000000,0.5764705882352941,1.0,0.7313432835820896
